thread_id,event_name,split,observation_ratio,observed_reply_count,forecast_reply_count,observed_neg_ratio,observed_neu_ratio,observed_pos_ratio,future_neg_ratio,future_neu_ratio,future_pos_ratio,observed_majority_sentiment,future_majority_sentiment,future_neg_bucket,reply_count,node_count,edge_count,root_children,avg_depth,max_depth,branching_factor,leaf_ratio,observed_time_span_seconds,direct_to_source_ratio
552783667052167168,charliehebdo,train,0.3,2,5,0.5,0.5,0.0,0.2,0.8,0.0,negative,neutral,"[0.1,0.3)",2.0,3.0,2.0,1.0,1.5,2.0,1.0,0.3333333432674408,203.0,0.5
552785375161499649,charliehebdo,train,0.3,1,2,0.0,1.0,0.0,0.0,0.5,0.5,neutral,neutral,"[0.0,0.1)",1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,1.0
552791196247269378,charliehebdo,train,0.3,6,16,0.3333333333333333,0.6666666666666666,0.0,0.25,0.6875,0.0625,neutral,neutral,"[0.1,0.3)",6.0,7.0,6.0,6.0,1.0,1.0,6.0,0.8571428656578064,128.0,1.0
552791578893619200,charliehebdo,train,0.3,6,14,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.6428571428571429,0.2857142857142857,0.07142857142857142,negative,negative,"[0.6,1.0]",6.0,7.0,6.0,6.0,1.0,1.0,6.0,0.8571428656578064,644.0,1.0
552792544132997121,charliehebdo,train,0.3,5,12,0.2,0.8,0.0,0.16666666666666666,0.8333333333333334,0.0,neutral,neutral,"[0.1,0.3)",5.0,6.0,5.0,3.0,1.399999976158142,2.0,2.5,0.6666666865348816,1491.0,0.6
552792802309181440,charliehebdo,train,0.3,2,6,1.0,0.0,0.0,0.3333333333333333,0.5,0.16666666666666666,negative,neutral,"[0.3,0.6)",2.0,3.0,2.0,2.0,1.0,1.0,2.0,0.6666666865348816,153.0,1.0
552792913910833152,charliehebdo,train,0.3,1,4,1.0,0.0,0.0,0.5,0.5,0.0,negative,negative,"[0.3,0.6)",1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,1.0
552793679082311680,charliehebdo,train,0.3,4,11,0.0,1.0,0.0,0.09090909090909091,0.9090909090909091,0.0,neutral,neutral,"[0.0,0.1)",4.0,5.0,4.0,2.0,1.5,2.0,2.0,0.6000000238418579,341.0,0.5
552802654641225728,charliehebdo,train,0.3,2,5,0.5,0.5,0.0,0.4,0.2,0.4,negative,negative,"[0.3,0.6)",2.0,3.0,2.0,2.0,1.0,1.0,2.0,0.6666666865348816,138.0,1.0
552805488631758849,charliehebdo,train,0.3,33,77,0.21212121212121213,0.7575757575757576,0.030303030303030304,0.19480519480519481,0.7532467532467533,0.05194805194805195,neutral,neutral,"[0.1,0.3)",33.0,34.0,33.0,12.0,2.2727272510528564,5.0,1.8333333730697632,0.47058823704719543,1818.0,0.36363636363636365
